[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00033_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	01/08/2024 09:26:48
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=120.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.840	00:00:47.657	00:01:11.468	00:01:35.257	00:01:59.081	00:02:22.886	00:02:46.685	00:03:10.478	00:03:34.309	00:03:58.112	00:04:21.915	00:04:45.709	00:05:09.537	00:05:33.349	00:05:57.148	00:06:20.943	00:06:44.748	00:07:08.547	00:07:32.343	00:07:56.141	00:08:19.940	00:08:43.748	00:09:07.541	00:09:31.341	00:09:55.133	00:10:18.930	00:10:42.725	00:11:06.527	00:11:30.318	00:11:54.117	00:12:17.924	00:12:41.719	00:13:05.513	00:13:29.308	00:13:53.114	00:14:16.909	00:14:40.707	00:15:04.501	00:15:28.298	00:15:52.093	00:16:15.888	00:16:39.686	00:17:03.477	00:17:27.270	00:17:51.066	00:18:14.867	00:18:38.667	00:19:02.455	00:19:26.252	00:19:50.049	00:20:13.843	00:20:37.641	00:21:01.440	00:21:25.242	00:21:49.040	00:22:12.840	00:22:36.640	00:23:00.435	00:23:24.231	00:23:48.025
314	44.220642	55.305153	40.436222	49.163448	53.603947	64.590469	43.105656	45.634941	64.048897	41.979088	41.784382	57.336246	45.878445	39.895905	54.391514	63.117462	44.84243	54.0182	62.824368	50.977921	39.97485	37.72464	60.404629	51.292534	53.740376	54.961185	40.643761	49.925358	42.407391	45.878445	39.957081	39.215408	51.165218	57.676525	50.854321	60.774254	46.918175	59.024651	47.58215	47.738819	50.168888	39.007874	54.39027	50.762547	38.064884	57.179577	38.560551	48.544155	50.887394	51.026291	52.342598	47.272472	47.602386	44.562138	58.359455	60.595642	50.450432	36.560032	37.491467	41.9729	37.760178
315	43.727238	54.915627	40.144054	49.072598	52.635254	64.406082	42.434372	44.668732	63.718925	40.590683	41.586536	56.932171	45.5382	39.287903	53.853863	62.951397	44.126217	53.648289	62.457676	50.814312	39.16872	37.215366	60.191734	50.50676	53.198288	54.96661	39.530037	49.527569	41.816494	45.5382	39.463013	38.375759	50.832603	57.38826	50.633114	60.904385	46.443142	58.830708	47.480526	47.411243	50.397038	38.989754	54.022892	50.370461	37.671425	57.00145	38.227226	48.335594	50.382607	50.60762	52.131523	47.112007	46.848213	44.014271	57.962353	59.70295	50.339962	36.298225	37.06572	41.435776	36.626839
316	43.227024	54.52071	39.84787	48.980511	51.653259	64.219124	41.753902	43.689259	63.384377	39.183224	41.385967	56.522537	45.19331	38.67152	53.308823	62.78307	43.400169	53.273254	62.085903	50.648445	38.351555	36.699074	59.975876	49.710163	52.648746	54.972095	38.401024	49.124306	41.217484	45.19331	38.962135	37.524555	50.495441	57.096054	50.408852	61.036312	45.961552	58.634121	47.377525	47.079201	50.628334	38.971401	53.650429	49.97295	37.272587	56.820862	37.889351	48.124157	49.870907	50.183159	51.917542	46.949329	46.08371	43.458904	57.559784	58.797997	50.227993	36.032818	36.634155	40.8913	35.477921
317	42.900261	54.163158	39.582115	48.955872	51.056503	64.063507	41.366493	43.113319	63.081425	38.094311	41.102009	56.256824	44.865955	38.140305	52.725624	62.642593	42.858517	52.87603	61.880539	50.670635	37.757153	36.412819	59.73119	49.180111	52.271324	54.941864	37.644264	48.812424	40.663177	44.921631	38.616661	36.932449	50.191593	56.871216	50.226368	61.092175	45.549931	58.411949	47.282879	46.781399	50.676388	38.946854	53.37326	49.692802	36.97847	56.667816	37.585869	47.932018	49.454628	49.847435	51.797688	46.955402	45.608322	43.054951	57.382347	58.067852	50.082924	35.751251	36.190079	40.469437	34.568516
318	43.133232	53.937775	39.422928	49.144581	51.69775	64.012993	41.918224	43.832283	62.890339	38.053425	40.566803	56.455391	44.607288	37.89896	52.046005	62.595741	42.919834	52.424995	62.207722	51.284264	37.88887	36.862812	59.405602	49.511379	52.451496	54.80035	38.09111	48.801197	40.272205	44.891792	38.774796	37.180794	50.005047	56.867832	50.182869	60.906212	45.375366	58.118397	47.218323	46.603638	50.14518	38.90377	53.40749	49.793781	37.026329	56.607723	37.403191	47.808556	49.355877	49.804909	51.979084	47.492737	46.06329	43.144394	57.921455	57.918285	49.839451	35.430191	35.724789	40.451061	34.450874
319	43.364967	53.713543	39.264515	49.33234	52.335709	63.962723	42.46711	44.547546	62.700218	38.012741	40.034363	56.652893	44.349937	37.658848	51.369865	62.549114	42.980846	51.976269	62.53318	51.894737	38.019901	37.310509	59.081703	49.840931	52.63076	54.659546	38.535625	48.789986	39.883259	44.862095	38.93211	37.427818	49.819473	56.864452	50.139572	60.721161	45.201664	57.826328	47.154087	46.426807	49.616657	38.860901	53.441559	49.894218	37.073929	56.54792	37.221439	47.685745	49.257591	49.762585	52.159554	48.027298	46.515877	43.23336	58.457779	57.76947	49.597187	35.110775	35.261879	40.432774	34.333794
320	43.595551	53.490501	39.106956	49.519146	52.970417	63.912701	43.013191	45.259125	62.511063	37.972301	39.504662	56.849434	44.093918	37.419975	50.697231	62.502712	43.041565	51.529854	62.857021	52.502083	38.150272	37.75589	58.759445	50.168808	52.809113	54.519474	38.977898	48.778839	39.496315	44.832531	39.088596	37.673618	49.634838	56.861103	50.096489	60.537075	45.028889	57.535778	47.090225	46.250866	49.090889	38.818287	53.475468	49.994133	37.121296	56.488441	37.040657	47.563545	49.159851	49.720497	52.339119	48.559132	46.966156	43.321915	58.991344	57.621429	49.356209	34.793034	34.801353	40.414589	34.217327
321	43.224609	53.181625	38.893803	48.958771	52.28709	62.926548	42.876617	44.828625	62.189941	37.637749	38.761295	55.989639	43.71907	37.236423	50.828259	61.923237	42.903286	51.883678	61.977398	51.365894	38.091583	37.290585	58.260887	49.880398	52.09996	54.584175	38.586868	47.996941	39.4814	44.174133	38.813801	37.810486	49.105667	56.469746	49.493431	59.665127	45.081394	57.231308	46.419563	46.00425	48.677677	38.773144	53.154957	49.639931	36.795696	56.202187	36.382095	47.074062	48.824577	49.625969	52.085571	47.836483	46.646069	43.504017	58.514889	57.164867	48.931702	34.776791	34.803459	40.39032	34.055401
322	42.820023	52.870304	38.679157	48.357513	51.528912	61.891788	42.699257	44.331787	61.863625	37.288155	38.011543	55.07275	43.340328	37.057911	51.00758	61.316238	42.754013	52.283501	61.031807	50.132771	38.021774	36.773472	57.756065	49.556713	51.342678	54.660904	38.148136	47.174736	39.489525	43.483059	38.514946	37.9394	48.560112	56.058067	48.861454	58.758778	45.14724	56.928791	45.717697	45.755547	48.275166	38.728287	52.815575	49.260994	36.450138	55.904572	35.700153	46.566425	48.477737	49.529064	51.80772	47.043232	46.281479	43.690231	57.980625	56.693459	48.499756	34.779282	34.834007	40.365902	33.892162
323	42.419334	52.561962	38.466576	47.762032	50.777985	60.866905	42.523632	43.839703	61.540436	36.941917	37.268967	54.164589	42.965214	36.881142	51.185181	60.715042	42.606178	52.67952	60.095215	48.911453	37.952621	36.261314	57.256042	49.236099	50.592636	54.736881	37.713604	46.36039	39.497585	42.798565	38.218987	38.067101	48.019802	55.650337	48.235489	57.861115	45.212498	56.629147	45.022549	45.509209	47.876511	38.683846	52.479416	48.885693	36.107899	55.60981	35.024738	46.063683	48.134251	49.433094	51.532509	46.257595	45.920391	43.87468	57.451481	56.226585	48.071976	34.781734	34.864281	40.341702	33.730473
324	42.029987	52.426582	38.691284	47.145	50.328819	60.273212	42.232304	43.217281	61.195637	36.998215	37.129143	54.113682	43.065411	36.569824	51.06678	60.326748	42.395969	52.688461	59.588821	48.817123	37.837376	35.831867	57.038719	49.320061	49.9837	54.375648	37.486256	46.115406	39.459053	42.788666	38.236065	37.682716	47.957249	55.1493	47.873981	57.856934	44.946045	56.449562	44.823986	44.827084	47.793613	38.628872	52.280788	48.808289	36.060925	55.488457	34.772514	45.966606	47.69548	49.293316	50.983513	46.00531	45.588745	43.618958	56.83049	56.148998	47.728191	35.058128	34.954025	40.360622	33.451397
325	41.648415	52.388	39.158615	46.518269	50.049366	59.921688	41.877659	42.524616	60.840012	37.278473	37.325417	54.540211	43.429882	36.184738	50.784016	60.058392	42.151772	52.481884	59.323746	49.350647	37.696857	35.450066	56.979622	49.628876	49.455544	53.772346	37.37513	46.188274	39.394753	43.154369	38.427414	37.014671	48.160954	54.598164	47.661018	58.350212	44.495899	56.337482	44.902599	43.90485	47.886841	38.568268	52.159454	48.897003	36.178516	55.464024	34.756866	46.095764	47.205303	49.129669	50.284107	46.050869	45.274769	43.11911	56.160671	56.288467	47.432499	35.486019	35.076546	40.403515	33.108009
