[HEADER]
Format	J&M ASCII Table
Comment	COA_09_P.00037_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	02/08/2024 12:19:50
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=124.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.822	00:00:47.617	00:01:11.618	00:01:35.418	00:01:59.426	00:02:23.428	00:02:47.231	00:03:11.226	00:03:35.220	00:03:59.018	00:04:23.013	00:04:47.008	00:05:10.811	00:05:34.804	00:05:58.795	00:06:22.790	00:06:46.783	00:07:10.784	00:07:34.777	00:07:58.768	00:08:22.767	00:08:46.759	00:09:10.752	00:09:34.748	00:09:58.748	00:10:22.746	00:10:46.546	00:11:10.543	00:11:34.542	00:11:58.542	00:12:22.529	00:12:46.532	00:13:10.530	00:13:34.521	00:13:58.514	00:14:22.512	00:14:46.509	00:15:10.510	00:15:34.505	00:15:58.495	00:16:22.493	00:16:46.294	00:17:10.287	00:17:34.089	00:17:58.084	00:18:22.078	00:18:46.075	00:19:10.073	00:19:34.069	00:19:57.872	00:20:21.866	00:20:45.864	00:21:09.854	00:21:33.850	00:21:57.857	00:22:21.856	00:22:45.852	00:23:09.845	00:23:33.842	00:23:57.836
314	26.611477	26.497036	27.261002	28.552094	25.783405	26.444	27.021494	27.356419	28.074022	27.44216	26.476679	26.82929	25.304001	28.256521	27.308723	27.154961	26.646793	26.712206	26.928715	28.041319	28.154425	27.43952	25.528912	26.763906	27.40815	25.237284	28.519386	25.699028	25.896513	27.141275	27.496498	26.547369	25.949547	25.963263	26.931355	24.459604	26.515997	25.253605	25.604912	24.239122	25.62257	28.539743	28.951096	25.997272	26.351189	26.29952	24.045553	26.047668	26.417908	26.29685	26.977774	27.014425	25.418442	24.606754	24.324833	25.28631	26.167389	25.124146	24.625748	24.7742	26.781595
315	26.607319	26.281324	26.805405	28.280375	25.717146	26.681021	27.591839	27.444441	27.469189	27.137903	26.774178	26.493546	25.085772	27.621878	27.12492	27.604792	26.340857	26.527142	26.593182	27.376062	27.881865	27.497494	26.27722	26.307261	27.224556	25.079294	28.187216	25.843901	26.22298	27.198622	26.558369	26.241222	25.823256	26.229456	26.233561	24.149046	25.968283	25.125843	25.025051	24.62244	24.891823	27.694393	28.499069	26.142773	25.682364	25.902245	23.703928	26.102701	25.688839	26.261866	26.732889	26.286617	25.411764	24.568199	24.315874	25.219002	25.709482	24.57349	24.255127	24.494499	26.17403
316	26.603159	26.064688	26.347864	28.00749	25.650587	26.919027	28.164555	27.53282	26.861778	26.832315	27.072895	26.156336	24.866632	26.984537	26.940355	28.056543	26.033609	26.341312	26.256184	26.707941	27.608105	27.555731	27.028687	25.848665	27.040173	24.920622	27.853622	25.989401	26.550785	27.256224	25.616249	25.933764	25.696445	26.496761	25.532766	23.837128	25.418203	24.997555	24.442722	25.007366	24.15793	26.845446	28.045118	26.288906	25.010658	25.503305	23.360842	26.157984	24.956636	26.226721	26.486984	25.555679	25.405073	24.529434	24.306862	25.15139	25.24962	24.020458	23.882952	24.213568	25.563875
317	26.47748	25.947575	26.069355	27.67494	25.655561	27.115709	28.458551	27.555994	26.37318	26.514116	27.425259	25.881582	24.684153	26.443649	26.750368	28.317616	26.016457	26.12965	26.003393	26.261631	27.297752	27.614645	27.58532	25.460451	26.864809	24.791285	27.504679	26.037195	26.765045	27.300617	24.993704	25.6527	25.589571	26.621246	25.247467	23.601164	25.049492	24.759066	24.05162	25.326887	23.689142	26.151636	27.560469	26.483175	24.623888	25.131777	23.21953	26.048983	24.428776	25.997669	26.148775	25.071482	25.250664	24.447901	24.409653	25.193293	24.927713	23.667154	23.579145	23.978291	25.1273
318	25.977671	26.141592	26.352215	27.164724	25.882065	27.179701	27.881632	27.376465	26.263853	26.163841	27.93606	25.806505	24.61948	26.21386	26.547861	27.981646	26.899069	25.84264	26.017126	26.512844	26.880747	27.674299	27.525383	25.299135	26.721233	24.755627	27.115822	25.780964	26.622337	27.303108	25.375811	25.459734	25.546976	26.300018	26.256609	23.605795	25.251316	24.184319	24.262114	25.436398	24.052608	25.954336	26.991325	26.822361	25.129053	24.853437	23.706955	25.433079	24.546093	25.172434	25.532003	25.36301	24.641699	24.235456	24.856758	25.573631	25.040691	23.940912	23.494099	23.889774	25.238546
319	25.486502	26.332268	26.630199	26.66333	26.104694	27.242617	27.314653	27.199999	26.15641	25.819599	28.438061	25.732719	24.555891	25.988037	26.348846	27.651432	27.766478	25.560574	26.030624	26.759729	26.470894	27.732956	27.466478	25.140566	26.580132	24.720585	26.733662	25.529119	26.482088	27.305525	25.751305	25.270092	25.505117	25.984293	27.248394	23.610376	25.449661	23.619474	24.468981	25.544024	24.409813	25.760433	26.432016	27.155706	25.625519	24.579893	24.185951	24.827757	24.661417	24.361418	24.925831	25.649521	24.043196	24.026674	25.29616	25.947453	25.151756	24.209953	23.410517	23.802782	25.347878
320	25.00374	26.519701	26.903454	26.170517	26.323505	27.304443	26.757345	27.026594	26.050817	25.481256	28.931469	25.660181	24.493404	25.76605	26.153246	27.326906	28.619078	25.283373	26.043934	27.002409	26.068085	27.790598	27.408594	24.984749	26.441483	24.686155	26.358044	25.28162	26.344246	27.307915	26.120428	25.083706	25.463985	25.674006	28.223219	23.614893	25.644632	23.064295	24.672327	25.649824	24.76096	25.569857	25.882248	27.483398	26.113543	24.311068	24.656811	24.232821	24.774757	23.564274	24.330057	25.93115	23.45496	23.821444	25.728071	26.314873	25.26091	24.474413	23.328377	23.717293	25.455353
321	24.773382	26.617104	27.064074	26.44894	26.700289	26.702467	26.450256	27.050343	26.072294	26.126766	28.030602	25.764742	24.730461	25.611595	26.644117	27.232235	28.294813	25.23411	25.932905	26.994587	25.988659	27.247276	26.605106	25.442568	25.933769	25.149134	26.114767	25.540796	26.003256	26.981306	26.170105	25.261539	25.513367	26.07143	28.405458	23.794466	25.54166	23.625856	24.730907	25.959917	24.689331	25.91786	25.514231	27.372101	26.281647	24.534868	24.842449	24.688017	24.410494	24.059126	25.008881	25.305328	23.375793	23.85067	25.332788	25.835958	25.289865	24.423775	23.640482	23.752859	24.844179
322	24.55563	26.71018	27.219898	26.779449	27.092207	26.050648	26.154509	27.086794	26.102036	26.842741	27.029997	25.881811	24.989557	25.459215	27.184708	27.150627	27.892471	25.19845	25.812572	26.971003	25.928333	26.658789	25.743843	25.945103	25.395927	25.649687	25.876404	25.83526	25.644821	26.62958	26.200489	25.464624	25.569057	26.518654	28.540642	23.987488	25.418646	24.265081	24.781263	26.287069	24.590281	26.304382	25.152441	27.231798	26.432102	24.792624	25.012848	25.215191	24.01132	24.64164	25.77684	24.614082	23.327387	23.894987	24.880285	25.297445	25.314213	24.352716	23.981539	23.796505	24.179585
323	24.334885	26.804585	27.377859	27.114538	27.489519	25.389809	25.854721	27.123734	26.132175	27.568647	26.015615	26.000515	25.252247	25.304779	27.732807	27.067905	27.484554	25.162285	25.690594	26.947079	25.86722	26.062214	24.870699	26.454628	24.850698	26.157141	25.634762	26.133812	25.281477	26.273037	26.23131	25.670532	25.625566	26.972073	28.677706	24.183193	25.293945	24.913124	24.8323	26.618757	24.489878	26.696253	24.7857	27.089602	26.584625	25.053955	25.185585	25.749689	23.606649	25.232246	26.555422	23.913305	23.278299	23.939903	24.421551	24.751535	25.338913	24.280722	24.327351	23.84074	23.505823
